,Suhu(sensor),pH(sensor)
316,25.0,7.6
317,25.0,7.4
318,25.3,7.7
319,25.1,7.6
320,26.1,7.4
321,21.4,7.7
322,27.4,7.4
323,27.1,7.5
324,27.2,7.3
325,27.3,7.4
326,27.0,7.3
327,27.2,7.3
328,27.0,7.4
329,22.6,7.8
330,28.4,7.3
331,28.0,7.2
332,27.6,7.3
333,27.9,7.3
334,28.1,7.3
335,27.1,7.9
336,27.6,8.1
337,27.3,8.0
338,27.8,7.8
339,28.0,7.7
340,28.1,7.6
341,28.6,7.6
342,26.9,7.7
343,23.0,7.4
344,23.0,7.4
345,23.0,7.2
346,23.8,7.4
347,24.6,7.3
348,24.0,7.3
349,24.4,7.5
350,26.3,7.9
351,24.4,8.1
352,28.5,7.9
353,27.1,7.7
354,27.3,8.0
355,27.5,8.0
356,29.5,8.2
357,29.1,8.2
358,27.3,8.4
359,28.5,14.7
360,29.6,8.1
361,29.2,8.4
362,29.8,7.2
363,29.5,6.9
364,29.7,6.9
365,29.5,7.3
366,30.0,7.4
367,29.2,6.7
368,29.6,6.7
369,30.0,7.6
370,30.1,7.6
371,27.8,7.1
372,27.9,6.4
373,29.3,6.8
374,29.2,7.0
375,30.0,7.5
376,29.0,7.0
377,29.1,7.0
378,28.7,6.9
379,28.7,6.7
380,29.5,6.8
381,29.0,6.4
382,29.4,7.6
383,28.3,6.5
384,30.1,7.1
385,30.3,7.5
386,30.5,7.4
387,29.1,6.7
388,30.1,7.5
389,29.2,6.3
390,24.5,7.5
391,25.0,7.5
392,26.3,7.9
393,29.1,8.2
394,29.6,8.2
395,28.5,8.4
396,28.3,8.4
397,27.9,7.8
398,17.4,7.9
399,27.0,8.3
400,26.1,8.1
401,24.9,8.2
402,23.9,8.2
403,23.4,8.2
404,24.4,8.1
405,23.7,8.2
406,22.7,7.4
407,21.4,8.0
408,23.0,8.1
409,33.3,8.3
410,28.1,8.1
411,27.3,8.2
412,25.1,8.2
413,24.3,8.2
414,24.1,8.2
415,24.1,8.2
416,23.7,7.7
417,33.8,8.2
418,24.4,8.2
419,24.9,8.2
420,26.3,8.4
421,23.2,8.4
422,31.6,8.3
423,21.6,7.5
424,21.0,7.6
425,27.6,7.7
426,22.1,7.9
427,21.6,7.9
428,21.9,8.0
429,22.7,8.1
430,21.3,7.9
431,25.0,8.3
432,24.6,8.3
433,25.3,8.4
434,31.2,8.3
435,31.1,8.2
436,28.9,8.0
437,27.5,7.9
438,27.5,7.4
439,28.5,7.7
440,28.5,8.0
441,27.0,7.9
442,25.8,7.9
443,26.1,8.0
444,29.9,7.9
445,27.0,7.9
446,26.9,7.9
447,26.5,8.0
448,29.8,8.1
449,26.1,7.9
450,26.2,7.9
451,27.7,8.1
452,27.0,8.2
453,27.6,7.8
454,28.5,8.0
455,21.8,13.7
456,29.5,7.7
457,28.8,7.8
458,29.6,8.0
459,21.5,7.4
460,17.0,8.0
461,17.0,7.4
462,17.2,7.5
463,28.6,8.2
464,25.5,8.0
465,24.0,8.3
466,29.1,8.3
467,29.0,8.4
468,28.3,7.9
469,27.0,7.8
470,27.3,8.1
471,31.6,7.2
472,30.8,6.7
473,30.2,6.9
474,29.7,6.7
475,29.1,6.4
476,31.6,6.6
477,30.3,6.6
